id,cu,disMacro,equip,equipRef,fc,navName,siteRef,type,mod
@p:gbsonomacounty:r:2da36bda-5570047e Sonoma Academy PAC VAV-2 Stage Supply,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dbb3f38-ba1b966f Sonoma Academy PAC AHU-1-System,"",VAV-2 Stage Supply,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,VAV,2024-09-28T17:28:47.973Z UTC
@p:gbsonomacounty:r:2dd143b4-7f5b82e7 Sonoma Academy PAC FC-1-4,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14432-6b27113c Sonoma Academy PAC CU-5 System,✓,FC-1-4,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2da36bda-a330a66a Sonoma Academy PAC VAV-4 Theater Return,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dbb3f38-ba1b966f Sonoma Academy PAC AHU-1-System,"",VAV-4 Theater Return,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,VAV,2024-09-28T17:44:12.683Z UTC
@p:gbsonomacounty:r:2dd1458e-5315fb9a Sonoma Academy PAC FC-2-6,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-2-6,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd143c8-bfa699b5 Sonoma Academy PAC FC-2-1,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14432-6b27113c Sonoma Academy PAC CU-5 System,✓,FC-2-1,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd14558-216f6d52 Sonoma Academy PAC CU-5,✓,$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14432-6b27113c Sonoma Academy PAC CU-5 System,"",CU-5,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:34:10.726Z UTC
@p:gbsonomacounty:r:2dd144fc-68aecaf3 Sonoma Academy PAC CU-2,✓,$siteRef $navName,✓,@p:gbsonomacounty:r:2dbb3f38-ba1b966f Sonoma Academy PAC AHU-1-System,"",CU-2,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:34:10.726Z UTC
@p:gbsonomacounty:r:2dd1456a-1f2237dd Sonoma Academy PAC FC-2-4,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-2-4,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd143e4-c62bd3bc Sonoma Academy PAC FC-2-10,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-2-10,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2da36bda-d7f5517a Sonoma Academy PAC TCP-2,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2da36be7-dced9b4a Sonoma Academy PAC TCP Points Unassigned,"",TCP-2,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,TCP,2024-04-06T02:12:34.631Z UTC
